ID	Pe	Time	Y
1	1	1	15.9946719
2	2	1	10.9056719
3	3	1	9.7746719
4	4	1	10.0026719
5	5	1	9.0596719
6	6	1	13.9343386
7	7	1	10.4703386
8	8	1	10.1716719
9	9	1	14.6706719
10	10	1	12.0353386
11	11	1	11.7393386
12	12	1	14.1206719
13	13	1	10.4366719
14	14	1	14.6373386
15	15	1	9.1855052
16	16	1	10.4506719
17	17	1	18.1073386
18	18	1	9.1830052
19	19	1	8.9443386
20	20	1	13.8286719
21	21	1	15.9700052
22	22	1	15.9676719
23	23	1	16.9920052
24	24	1	14.3186719
25	25	1	18.3496719
26	26	1	11.4903386
27	27	1	10.0900052
28	28	1	10.0185052
29	29	1	17.5738386
30	30	1	16.5423386
31	31	1	9.7710052
32	32	1	9.6860052
33	33	1	18.1043386
34	34	1	11.7060052
35	35	1	11.7980052
36	36	1	13.1545052
37	37	1	11.6955052
38	38	1	15.6363386
39	39	1	8.2453386
40	40	1	12.4600052
41	41	1	12.5175052
42	42	1	15.5136719
43	43	1	17.1370052
44	44	1	12.8050052
45	45	1	17.0766719
46	46	1	13.0678386
47	47	1	12.1960052
48	48	1	17.3616719
49	49	1	13.3221719
50	50	1	12.3043386
51	51	1	13.0863386
52	52	1	16.8983386
53	53	1	16.7523386
54	54	1	14.5868386
55	55	1	16.4803386
56	56	1	11.9610052
57	57	1	18.7356719
58	58	1	11.6550052
59	59	1	12.5003386
60	60	1	14.7343386
61	61	1	10.8293386
62	62	1	13.0806719
63	63	1	12.0301719
64	64	1	16.1386719
65	65	1	15.9396719
66	66	1	16.2720052
67	67	1	8.2923386
68	68	1	8.3563386
69	69	1	16.4703386
70	70	1	16.5350052
71	71	1	13.9706719
72	72	1	12.3916719
73	73	1	13.4076719
74	74	1	19.5203386
75	75	1	13.4665052
76	76	1	11.6046719
77	77	1	15.4323386
78	78	1	10.5211719
79	79	1	10.8906719
80	80	1	10.3190052
81	81	1	19.2678386
82	82	1	11.1138386
83	83	1	16.9550052
84	84	1	11.4996719
85	85	1	10.0116719
86	86	1	10.4188386
87	87	1	14.3376719
88	88	1	9.8691719
89	89	1	9.5316719
1	1	2	21.0571779
2	2	2	14.3581779
3	3	2	11.9348445
4	4	2	13.0091779
5	5	2	10.9835112
6	6	2	17.2421779
7	7	2	12.6518445
8	8	2	13.5791779
9	9	2	18.2558445
10	10	2	14.4151779
11	11	2	15.2048445
12	12	2	18.1726779
13	13	2	13.1541779
14	14	2	17.6591779
15	15	2	11.9588445
16	16	2	13.1798445
17	17	2	22.6428445
18	18	2	11.1065112
19	19	2	11.8671779
20	20	2	16.7875112
21	21	2	19.6685112
22	22	2	19.5850112
23	23	2	19.4208445
24	24	2	18.3073445
25	25	2	21.2911779
26	26	2	15.9048445
27	27	2	13.5041779
28	28	2	12.0095112
29	29	2	20.8633445
30	30	2	19.8041779
31	31	2	11.6995112
32	32	2	12.0731779
33	33	2	23.7555112
34	34	2	14.1661779
35	35	2	14.0531779
36	36	2	16.3646779
37	37	2	13.9111779
38	38	2	19.3728445
39	39	2	9.9265112
40	40	2	15.3460112
41	41	2	15.4705112
42	42	2	19.3761779
43	43	2	22.1795112
44	44	2	16.3231779
45	45	2	20.1738445
46	46	2	15.0873445
47	47	2	16.8711779
48	48	2	22.1368445
49	49	2	17.4665112
50	50	2	14.5345112
